GID,IDENT,NUMERO,NUMERO_X,NUMERO_Y,NUMERO_O,POP_MUN,POP_CAP,POP_TOT,POP_SDC,NB_LOG_P,NB_LOG_S,NB_LOG_O,NB_LOG_V,NB_LOG_T,CDATE,MDATE
3984,249AS08,AS08,1421642.67,4190994.93,0,0,0,0,0,0,0,0,1,1,19951205122800,20060905225800
3985,249AR01,AR01,1421764.25,4190961.46,0,7,0,7,7,3,0,0,0,3,19951205122800,20060905225800
3986,249AS09,AS09,1421703.24,4191153.61,0,260,0,260,260,139,0,1,7,147,19951205122800,20060905225800
3987,249AS10,AS10,1421719.79,4191274.63,0,34,0,34,34,22,0,0,2,24,19951205122800,20060905225800
3988,249AS11,AS11,1421796.57,4191354.27,0,233,0,233,233,105,1,1,7,114,19951205122800,20060905225800
4088,249AW18,AW18,1421552.34,4191781.19,0,9,0,9,9,4,0,0,0,4,19951205160700,20060905225800
4089,249AW19,AW19,1421631.13,4191659.22,77.8,127,0,127,127,75,0,1,4,80,19951205160700,20060905225800
4090,249AW20,AW20,1421716.96,4191755.8,0,200,0,200,200,116,2,0,2,120,19951205160700,20060905225800
4091,249AW21,AW21,1421815.4,4191735.21,0,203,0,203,203,92,0,0,3,95,19951205160700,20060905225800
4215,056BN03,BN03,1413939.31,4195895.24,0,104,0,104,104,35,0,0,0,35,19951208161800,20060905225800
4244,056BT03,BT03,1411641.62,4196606.91,0,239,0,239,239,69,0,0,0,69,19951208163600,20060905225800
4245,056BT04,BT04,1411827.92,4196543.43,0,70,0,70,70,19,0,0,0,19,19951208163600,20060905225800
4246,056BT02,BT02,1411699.53,4196457.71,0,55,0,55,55,16,0,0,0,16,19951208163600,20060905225800
4247,056BT01,BT01,1411825.08,4196219.76,0,114,0,114,114,33,0,0,1,34,19951208163600,20060905225800
4248,056BP01,BP01,1413500.25,4195360.47,0,8,0,8,8,2,0,0,0,2,19951208163800,20060905225800
3519,069AE13,AE13,1416592.66,4191683.79,0,115,0,115,115,64,1,1,4,70,19951201161300,20060905225700
3541,069AE08,AE08,1416143.39,4191537.74,0,80,0,80,80,32,1,0,3,36,19951201161500,20060905225700
4177,032AC11,AC11,1423387.52,4196605.33,0,63,0,63,63,22,0,0,1,23,19951206145700,20060905225800
3979,249AT02,AT02,1421102.23,4191166.86,0,0,0,0,0,0,0,0,0,0,19951205121200,20060905225800
3980,249AV08,AV08,1421041.57,4191407.65,0,82,177,259,82,25,0,1,0,26,19951205121800,20060905225800
3981,249AV09,AV09,1420997.97,4191568.56,0,23,0,23,23,8,0,0,0,8,19951205121800,20060905225800
3982,249AV11,AV11,1420970.27,4191660.32,0,31,0,31,31,11,0,0,0,11,19951205121800,20060905225800
3983,249AV12,AV12,1421060.74,4191712.04,0,31,0,31,31,11,0,0,0,11,19951205121800,20060905225800
4172,032AC13,AC13,1422309.51,4196825.34,0,49,0,49,49,17,2,0,1,20,19951206145600,20060905225800
4173,032AC17,AC17,1422507.79,4196653.52,0,17,0,17,17,7,0,0,0,7,19951206145600,20060905225800
4174,032AC12,AC12,1422232.29,4196639.73,0,135,0,135,135,41,0,0,1,42,19951206145700,20060905225800
4175,032AC18,AC18,1422326.19,4196571.41,0,144,0,144,144,43,0,0,0,43,19951206145700,20060905225800
3011,063VH01,VH01,1413772.59,4189555.36,0,254,0,254,254,118,2,2,11,133,19951130114200,20060905225700
3012,063VE02,VE02,1413885.26,4189684.85,0,11,0,11,11,5,0,0,0,5,19951130114300,20060905225700
3013,063NS13,NS13,1414118.03,4189473.41,0,40,0,40,40,16,0,0,1,17,19951130114400,20060905225700
3014,063NS14,NS14,1414190.05,4189287.6,0,143,0,143,143,74,1,1,36,112,19951130114400,20060905225700
3015,063NV17,NV17,1414244.84,4189410.29,0,72,0,72,72,32,0,0,7,39,19951130114400,20060905225700
3016,063NV18,NV18,1414338.55,4189358.13,71.5,27,0,27,27,15,0,0,3,18,19951130114500,20060905225700
3017,063NV19,NV19,1414372.69,4189352.35,0,71,0,71,71,38,0,0,4,42,19951130114500,20060905225700
3018,063NP12,NP12,1414348.58,4189248.32,0,77,0,77,77,76,0,0,2,78,19951130114500,20060905225700
3019,063NT09,NT09,1414496.66,4189330.22,0,125,0,125,125,51,0,0,2,53,19951130114500,20060905225700
3020,063NT08,NT08,1414497.91,4189473.3,0,155,0,155,155,96,2,4,12,114,19951130114500,20060905225700
3021,063NT07,NT07,1414617.77,4189463.83,0,114,0,114,114,62,2,2,10,76,19951130114600,20060905225700
3022,063NT06,NT06,1414731.43,4189467.05,0,85,0,85,85,54,0,0,5,59,19951130114600,20060905225700
3023,063NT05,NT05,1414673.98,4189396.01,0,34,0,34,34,19,1,1,0,21,19951130114600,20060905225700
3024,063NT10,NT10,1414539.18,4189240.98,64.6,24,0,24,24,17,1,0,2,20,19951130114600,20060905225700
3025,063NP14,NP14,1414300.79,4189078.29,0,119,0,119,119,66,2,0,4,72,19951130114700,20060905225700
3026,063NP13,NP13,1414372.37,4189081.87,0,99,0,99,99,43,1,0,4,48,19951130114700,20060905225700
3027,063NI21,NI21,1414419.11,4188892.07,0,165,0,165,165,96,0,4,11,111,19951130114700,20060905225700
3028,063NI20,NI20,1414497.34,4188693.57,0,167,0,167,167,72,0,1,21,94,19951130114700,20060905225700
3029,063MO05,MO05,1414649.71,4188551.24,0,305,0,305,305,157,0,1,13,171,19951130114700,20060905225700
3030,063MO04,MO04,1414663.08,4188635.3,0,174,0,174,174,96,1,3,7,107,19951130114700,20060905225700
3031,063ND09,ND09,1414605.2,4189235.55,0,69,0,69,69,30,1,0,6,37,19951130114700,20060905225700
